system:index,annual_mean_wind_speed,lat,lon,year,.geo
296_0,2.7126878467478552,37.53562320033674,-116.05019416445384,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,1.627559770144411,44.41837313488102,-119.04252326667267,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,4.226083890671291,39.37700379962534,-102.01008704630068,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,2.1092923779472845,34.9398329511334,-116.17927336226839,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,2.3561362051847428,37.06715405865915,-94.0772191133648,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,2.2493268283064256,37.87039948637776,-76.79315290267063,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,3.1838611780296966,37.518717997995836,-95.62586215228625,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,2.6680702987308034,36.672804220022826,-116.29568023387012,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,4.6873819458290376,42.37616276761532,-82.72350776487042,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,4.493338593279357,39.94737508174112,-101.84363965836405,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,2.3847168556786222,47.880742493812335,-79.90842393144126,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,1.6954473821157903,38.61582037670943,-78.28982838358667,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
323_0,3.610980275868438,41.04621805265797,-91.00819330987726,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,2.084505364437385,40.33706489313014,-122.15135508577623,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,4.391931499978501,31.70941110572308,-100.23438316546918,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,1.5102711528070443,31.079326639720655,-115.72310783103983,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,2.0810100043118616,38.86572987422462,-79.55437255497634,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,1.8514087683824134,38.10768787966415,-111.6916255251902,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,3.218458087569417,38.07939989185576,-104.70119938666319,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,2.4383045522306004,38.56660849714965,-113.38390199822166,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
333_0,1.3404858285511039,26.105118063858427,-108.2545136886945,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,3.2198275298437595,44.83662666370771,-93.05737354998269,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
