system:index,annual_mean_solar,elevation,lat,lon,year,.geo
173_0,4701156.43862204,154,34.6128986760318,-88.9524630325392,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.97363731561799,34.643528932069344]}"
174_0,4914269.296213364,1534,38.39030342881053,-104.48525226456388,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.49652542520333,38.36255420832416]}"
175_0,4404021.366590077,211,39.61575111495076,-87.69539602541462,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.68006330648589,39.65612821745627]}"
176_0,4318034.587337794,472,46.16952549796686,-69.7300682285083,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.73172392977786,46.204846638687584]}"
177_0,5093093.67346793,1089,33.98728639442917,-102.23776328844374,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.23277090922214,33.99674192750329]}"
179_0,5358125.853462223,1098,30.86812355109094,-105.30346256819215,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.3050091809109,30.84365528024377]}"
180_0,9999.0,0,24.029220916715925,-82.68393566328952,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.66746402109897,24.052391732300187]}"
183_0,4153991.271470214,346,42.74683923619177,-91.85211856102225,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.88417883616525,42.72836648914504]}"
184_0,3934964.1304599396,484,45.75773601900111,-88.74588463893485,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.73109218890573,45.71975638526304]}"
185_0,4660650.639535282,210,36.11563479437665,-87.06564279467794,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.03327630191983,36.098799692342965]}"
186_0,9999.0,1,42.31420153845299,-70.8965647638506,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86360118776845,42.32412461129125]}"
187_0,4715863.41698962,279,34.83706503555016,-85.29111992713851,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.25461203936318,34.80522568321086]}"
191_0,9999.0,0,26.346503164478168,-82.89499651151152,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.91000914781122,26.31614624828138]}"
193_0,3897002.582400579,539,43.67296366451917,-122.89013205740807,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.92995505533591,43.69854699599412]}"
194_0,3800358.3412476107,464,47.49207229909701,-84.07100826239056,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.04188640580183,47.49842064781969]}"
197_0,4882310.230945099,87,41.48478997398783,-72.81430274229551,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.80396220146662,41.51564085558368]}"
198_0,4531331.673610625,451,39.29281674909575,-97.51693488836283,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.54356512611824,39.332734715173245]}"
